optimalThreads,typeOp,matrixSize,numOp,numVar,varType,exeTime,isIterative,memoryPattern,complexity,matrixType
5,Multiplication,100,1000000,3,int,0.001,0,0,3.0,0
1,Addition,100,10000,3,int,0.0,0,0,2.0,0
1,Transposition,100,10000,2,int,0.0,0,1,2.0,0
1,Determinant,100,1000000,1,int,0.001,0,0,3.0,0
1,Scaling,100,10000,2,int,0.0,0,1,2.0,0
1,Exponential,100,10000,2,mixed,0.001,0,1,2.0,0
1,Logarithm,100,10000,2,mixed,0.0,0,1,2.0,0
1,Squareroot,100,10000,2,mixed,0.0,0,1,2.0,0
1,Ludecomposition,100,333333,3,int,0.002,0,0,3.0,0
1,Eigenvalue,100,1000000,2,mixed,0.001,1,1,2.0,0
4,Multiplication,110,1331000,3,int,0.001,0,0,3.0,0
1,Addition,110,12100,3,int,0.0,0,0,2.0,0
1,Transposition,110,12100,2,int,0.0,0,1,2.0,0
1,Determinant,110,1331000,1,int,0.002,0,0,3.0,0
1,Scaling,110,12100,2,int,0.0,0,1,2.0,0
1,Exponential,110,12100,2,mixed,0.001,0,1,2.0,0
1,Logarithm,110,12100,2,mixed,0.001,0,1,2.0,0
1,Squareroot,110,12100,2,mixed,0.0,0,1,2.0,0
1,Ludecomposition,110,443666,3,int,0.002,0,0,3.0,0
1,Eigenvalue,110,1210000,2,mixed,0.0,1,1,2.0,0
6,Multiplication,120,1728000,3,int,0.003,0,0,3.0,0
1,Addition,120,14400,3,int,0.0,0,0,2.0,0
1,Transposition,120,14400,2,int,0.0,0,1,2.0,0
1,Determinant,120,1728000,1,int,0.002,0,0,3.0,0
1,Scaling,120,14400,2,int,0.0,0,1,2.0,0
2,Exponential,120,14400,2,mixed,0.0,0,1,2.0,0
2,Logarithm,120,14400,2,mixed,0.0,0,1,2.0,0
1,Squareroot,120,14400,2,mixed,0.001,0,1,2.0,0
1,Ludecomposition,120,576000,3,int,0.003,0,0,3.0,0
1,Eigenvalue,120,1440000,2,mixed,0.0,1,1,2.0,0
4,Multiplication,130,2197000,3,int,0.003,0,0,3.0,0
1,Addition,130,16900,3,int,0.0,0,0,2.0,0
1,Transposition,130,16900,2,int,0.0,0,1,2.0,0
1,Determinant,130,2197000,1,int,0.003,0,0,3.0,0
1,Scaling,130,16900,2,int,0.0,0,1,2.0,0
2,Exponential,130,16900,2,mixed,0.0,0,1,2.0,0
1,Logarithm,130,16900,2,mixed,0.001,0,1,2.0,0
1,Squareroot,130,16900,2,mixed,0.0,0,1,2.0,0
1,Ludecomposition,130,732333,3,int,0.004,0,0,3.0,0
4,Eigenvalue,130,1690000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,140,2744000,3,int,0.004,0,0,3.0,0
1,Addition,140,19600,3,int,0.0,0,0,2.0,0
1,Transposition,140,19600,2,int,0.0,0,1,2.0,0
1,Determinant,140,2744000,1,int,0.003,0,0,3.0,0
1,Scaling,140,19600,2,int,0.0,0,1,2.0,0
2,Exponential,140,19600,2,mixed,0.001,0,1,2.0,0
1,Logarithm,140,19600,2,mixed,0.001,0,1,2.0,0
1,Squareroot,140,19600,2,mixed,0.0,0,1,2.0,0
1,Ludecomposition,140,914666,3,int,0.004,0,0,3.0,0
5,Eigenvalue,140,1960000,2,mixed,0.001,1,1,2.0,0
5,Multiplication,150,3375000,3,int,0.006,0,0,3.0,0
1,Addition,150,22500,3,int,0.0,0,0,2.0,0
1,Transposition,150,22500,2,int,0.0,0,1,2.0,0
1,Determinant,150,3375000,1,int,0.004,0,0,3.0,0
1,Scaling,150,22500,2,int,0.0,0,1,2.0,0
2,Exponential,150,22500,2,mixed,0.0,0,1,2.0,0
2,Logarithm,150,22500,2,mixed,0.0,0,1,2.0,0
2,Squareroot,150,22500,2,mixed,0.0,0,1,2.0,0
1,Ludecomposition,150,1125000,3,int,0.005,0,0,3.0,0
4,Eigenvalue,150,2250000,2,mixed,0.001,1,1,2.0,0
5,Multiplication,160,4096000,3,int,0.004,0,0,3.0,0
1,Addition,160,25600,3,int,0.0,0,0,2.0,0
1,Transposition,160,25600,2,int,0.0,0,1,2.0,0
1,Determinant,160,4096000,1,int,0.005,0,0,3.0,0
1,Scaling,160,25600,2,int,0.0,0,1,2.0,0
1,Exponential,160,25600,2,mixed,0.001,0,1,2.0,0
2,Logarithm,160,25600,2,mixed,0.001,0,1,2.0,0
1,Squareroot,160,25600,2,mixed,0.0,0,1,2.0,0
1,Ludecomposition,160,1365333,3,int,0.007,0,0,3.0,0
2,Eigenvalue,160,2560000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,170,4913000,3,int,0.007,0,0,3.0,0
2,Addition,170,28900,3,int,0.0,0,0,2.0,0
1,Transposition,170,28900,2,int,0.0,0,1,2.0,0
1,Determinant,170,4913000,1,int,0.005,0,0,3.0,0
1,Scaling,170,28900,2,int,0.0,0,1,2.0,0
2,Exponential,170,28900,2,mixed,0.001,0,1,2.0,0
3,Logarithm,170,28900,2,mixed,0.0,0,1,2.0,0
2,Squareroot,170,28900,2,mixed,0.0,0,1,2.0,0
1,Ludecomposition,170,1637666,3,int,0.008,0,0,3.0,0
5,Eigenvalue,170,2890000,2,mixed,0.0,1,1,2.0,0
6,Multiplication,180,5832000,3,int,0.008,0,0,3.0,0
1,Addition,180,32400,3,int,0.0,0,0,2.0,0
1,Transposition,180,32400,2,int,0.0,0,1,2.0,0
1,Determinant,180,5832000,1,int,0.007,0,0,3.0,0
1,Scaling,180,32400,2,int,0.0,0,1,2.0,0
2,Exponential,180,32400,2,mixed,0.001,0,1,2.0,0
4,Logarithm,180,32400,2,mixed,0.001,0,1,2.0,0
1,Squareroot,180,32400,2,mixed,0.0,0,1,2.0,0
1,Ludecomposition,180,1944000,3,int,0.01,0,0,3.0,0
4,Eigenvalue,180,3240000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,190,6859000,3,int,0.009,0,0,3.0,0
2,Addition,190,36100,3,int,0.0,0,0,2.0,0
1,Transposition,190,36100,2,int,0.0,0,1,2.0,0
1,Determinant,190,6859000,1,int,0.008,0,0,3.0,0
1,Scaling,190,36100,2,int,0.001,0,1,2.0,0
2,Exponential,190,36100,2,mixed,0.0,0,1,2.0,0
5,Logarithm,190,36100,2,mixed,0.0,0,1,2.0,0
2,Squareroot,190,36100,2,mixed,0.0,0,1,2.0,0
2,Ludecomposition,190,2286333,3,int,0.01,0,0,3.0,0
2,Eigenvalue,190,3610000,2,mixed,0.001,1,1,2.0,0
5,Multiplication,200,8000000,3,int,0.008,0,0,3.0,0
2,Addition,200,40000,3,int,0.0,0,0,2.0,0
1,Transposition,200,40000,2,int,0.0,0,1,2.0,0
4,Determinant,200,8000000,1,int,0.009,0,0,3.0,0
2,Scaling,200,40000,2,int,0.0,0,1,2.0,0
3,Exponential,200,40000,2,mixed,0.001,0,1,2.0,0
5,Logarithm,200,40000,2,mixed,0.0,0,1,2.0,0
1,Squareroot,200,40000,2,mixed,0.0,0,1,2.0,0
6,Ludecomposition,200,2666666,3,int,0.011,0,0,3.0,0
1,Eigenvalue,200,4000000,2,mixed,0.001,1,1,2.0,0
6,Multiplication,210,9261000,3,int,0.013,0,0,3.0,0
1,Addition,210,44100,3,int,0.0,0,0,2.0,0
1,Transposition,210,44100,2,int,0.0,0,1,2.0,0
1,Determinant,210,9261000,1,int,0.01,0,0,3.0,0
1,Scaling,210,44100,2,int,0.0,0,1,2.0,0
3,Exponential,210,44100,2,mixed,0.001,0,1,2.0,0
4,Logarithm,210,44100,2,mixed,0.001,0,1,2.0,0
2,Squareroot,210,44100,2,mixed,0.0,0,1,2.0,0
4,Ludecomposition,210,3087000,3,int,0.011,0,0,3.0,0
5,Eigenvalue,210,4410000,2,mixed,0.0,1,1,2.0,0
5,Multiplication,220,10648000,3,int,0.011,0,0,3.0,0
2,Addition,220,48400,3,int,0.001,0,0,2.0,0
1,Transposition,220,48400,2,int,0.0,0,1,2.0,0
