operation,matrix_size,variable_type,num_operations,optimal_thread,optimal_execution_time
addition,100,0,10000,1,0.000333
duplication,100,0,10000,1,0.000000
multiplication,100,0,2000000,8,0.004000
elemwise_multiplication,100,0,10000,1,0.000333
addition,100,1,10000,1,0.000333
duplication,100,1,10000,1,0.000000
multiplication,100,1,2000000,8,0.004333
elemwise_multiplication,100,1,10000,1,0.000000
addition,101,0,10201,1,0.000333
duplication,101,0,10201,1,0.000333
multiplication,101,0,2060602,4,0.004000
elemwise_multiplication,101,0,10201,1,0.000000
addition,101,1,10201,1,0.000333
duplication,101,1,10201,1,0.000333
multiplication,101,1,2060602,8,0.004000
elemwise_multiplication,101,1,10201,2,0.000333
addition,102,0,10404,1,0.000333
duplication,102,0,10404,2,0.000333
multiplication,102,0,2122416,8,0.004000
elemwise_multiplication,102,0,10404,1,0.000333
addition,102,1,10404,1,0.000000
duplication,102,1,10404,1,0.000333
multiplication,102,1,2122416,4,0.004667
elemwise_multiplication,102,1,10404,1,0.000333
addition,103,0,10609,1,0.000333
duplication,103,0,10609,1,0.000000
multiplication,103,0,2185454,8,0.004333
elemwise_multiplication,103,0,10609,1,0.000333
addition,103,1,10609,1,0.000333
duplication,103,1,10609,1,0.000000
multiplication,103,1,2185454,8,0.006667
elemwise_multiplication,103,1,10609,1,0.000333
addition,104,0,10816,1,0.000333
duplication,104,0,10816,1,0.000333
multiplication,104,0,2249728,16,0.004333
elemwise_multiplication,104,0,10816,1,0.000000
addition,104,1,10816,1,0.000333
duplication,104,1,10816,1,0.000333
multiplication,104,1,2249728,4,0.004667
elemwise_multiplication,104,1,10816,1,0.000000
addition,105,0,11025,1,0.000333
duplication,105,0,11025,1,0.000333
multiplication,105,0,2315250,4,0.005333
elemwise_multiplication,105,0,11025,1,0.000333
addition,105,1,11025,1,0.000333
duplication,105,1,11025,1,0.000333
multiplication,105,1,2315250,8,0.003667
elemwise_multiplication,105,1,11025,1,0.000333
addition,106,0,11236,1,0.000000
duplication,106,0,11236,1,0.000000
multiplication,106,0,2382032,8,0.004000
elemwise_multiplication,106,0,11236,1,0.000000
addition,106,1,11236,1,0.000000
duplication,106,1,11236,1,0.000000
multiplication,106,1,2382032,16,0.004000
elemwise_multiplication,106,1,11236,1,0.000333
addition,107,0,11449,1,0.000333
duplication,107,0,11449,1,0.000333
multiplication,107,0,2450086,16,0.005000
elemwise_multiplication,107,0,11449,1,0.000000
addition,107,1,11449,1,0.000000
duplication,107,1,11449,2,0.000333
multiplication,107,1,2450086,8,0.004667
elemwise_multiplication,107,1,11449,1,0.000000
addition,108,0,11664,2,0.000333
duplication,108,0,11664,1,0.000000
multiplication,108,0,2519424,4,0.005333
elemwise_multiplication,108,0,11664,2,0.000333
addition,108,1,11664,2,0.000333
duplication,108,1,11664,1,0.000333
multiplication,108,1,2519424,8,0.005000
elemwise_multiplication,108,1,11664,1,0.000000
addition,109,0,11881,1,0.000333
duplication,109,0,11881,1,0.000333
multiplication,109,0,2590058,8,0.005000
elemwise_multiplication,109,0,11881,1,0.000333
addition,109,1,11881,1,0.000000
duplication,109,1,11881,1,0.000333
multiplication,109,1,2590058,8,0.005000
elemwise_multiplication,109,1,11881,1,0.000000
addition,110,0,12100,1,0.000333
duplication,110,0,12100,2,0.000333
multiplication,110,0,2662000,16,0.005333
elemwise_multiplication,110,0,12100,1,0.000000
addition,110,1,12100,1,0.000000
duplication,110,1,12100,1,0.000000
multiplication,110,1,2662000,8,0.004000
elemwise_multiplication,110,1,12100,1,0.000000
addition,111,0,12321,1,0.000000
duplication,111,0,12321,1,0.000333
multiplication,111,0,2735262,4,0.004667
elemwise_multiplication,111,0,12321,1,0.000000
addition,111,1,12321,2,0.000333
duplication,111,1,12321,1,0.000000
multiplication,111,1,2735262,8,0.003333
elemwise_multiplication,111,1,12321,1,0.000000
addition,112,0,12544,1,0.000000
duplication,112,0,12544,1,0.000333
multiplication,112,0,2809856,8,0.003000
elemwise_multiplication,112,0,12544,1,0.000000
addition,112,1,12544,1,0.000333
duplication,112,1,12544,2,0.000000
multiplication,112,1,2809856,4,0.003667
elemwise_multiplication,112,1,12544,2,0.000000
addition,113,0,12769,1,0.000000
duplication,113,0,12769,1,0.000000
multiplication,113,0,2885794,16,0.003000
elemwise_multiplication,113,0,12769,1,0.000000
addition,113,1,12769,1,0.000333
duplication,113,1,12769,2,0.000000
